"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"11","neutral",0,0,1,10,1,2,0,2,2,1,1,11,1,36,78,78,36,87,0.469894714955,1.84997880237,64,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.319599796047,1,2.03008951077,83,1.3,"a",0,-14,19,14,-5,-9,18,9
"12","neutral",0,0,0,10,1,2,0,1,1,1,1,12,1,88,149,88,149,106,0.609942362291,2.15991722861,101,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.419630653538,1,1.19025792597,76,1.4,"a",0,13,25,13,-12,-5,19,14
"13","cued",1,1,1,10,2,1,1,1,0,1,1,13,1,173,41,41,173,104,0.299967880565,1.63991559409,34,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.52966420618,1,2.380123448,18,1.1,"a",0,-7,16,7,-9,-12,25,13
"14","neutral",0,1,1,10,2,1,0,1,1,1,1,14,1,93,28,28,93,134,0.549846568854,1.97994683618,34,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.499627276338,1,1.17024472365,16,1.3,"a",0,6,18,6,-12,-9,16,7
"15","neutral",0,0,1,10,1,2,0,2,2,1,1,15,1,127,112,112,127,118,0.869836665614,1.98997867618,128,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.349668875366,1,1.34022804498,108,1.4,"a",0,16,20,16,-4,-12,18,6
"16","cued",1,0,0,10,1,2,1,1,0,1,1,16,1,13,66,13,66,5,0.0598800614025,1.63987833675,14,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.27970950089,1,1.32037559007,-4,1.1,"a",0,1,18,1,-17,-4,20,16
"17","cued",1,1,0,10,2,1,2,2,0,1,1,17,1,160,86,160,86,39,0.639869322877,2.23989462181,158,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.449624617249,1,1.24022392865,176,1.2,"a",0,-2,18,2,-16,-17,18,1
"18","neutral",0,0,0,10,1,2,0,1,1,1,1,18,1,143,17,143,17,157,0.479914836924,1.28002047952,146,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.789580743723,1,1.60021459027,168,1.3,"a",0,3,22,3,-19,-16,18,2
"19","cued",1,1,0,10,2,1,2,2,0,1,1,19,1,5,120,5,120,141,0.379901406253,1.83987845693,10,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,1.27955326042,1,2.36013909007,22,1.2,"a",0,5,12,5,-7,-19,22,3
"20","cued",1,0,1,10,1,2,2,2,0,1,1,20,1,78,97,97,78,40,0.449840048819,NA,113,"[ 1.6]",2,14,24,34,44,54,64,74,79,0,0.639646079278,1,1.15036793128,133,1.1,"a",0,16,20,16,-4,-7,12,5
"21","cued",1,1,0,10,2,1,2,2,0,1,1,21,1,133,132,133,132,27,0.239856463082,2.09984396985,125,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.539630244912,1,1.93012505547,143,1.1,"a",0,-8,18,8,-10,-4,20,16
"22","neutral",0,0,0,10,1,2,0,1,1,1,1,22,1,81,47,81,47,176,0.589937572917,1.93993275049,39,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.729589811679,1,1.49016841822,60,1.2,"a",0,-42,21,42,21,-10,18,8
"23","cued",1,0,1,10,1,2,2,2,0,1,1,23,1,60,166,166,60,56,0.449947313911,1.80992235149,159,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,1.61952921742,1,2.48008039173,175,1.1,"a",0,-7,16,7,-9,21,21,42
"24","neutral",0,1,0,10,2,1,0,2,2,1,1,24,1,79,109,79,109,73,0.50987605023,1.93989879824,61,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.369665852711,1,1.31021094567,79,1.4,"a",0,-18,18,18,0,-9,16,7
"25","cued",1,0,0,10,1,2,1,1,0,1,1,25,1,78,96,78,96,80,0.509885665026,1.45993979333,65,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.379640905318,1,1.89011697904,82,1.2,"a",0,-13,17,13,-4,0,18,18
"26","neutral",0,1,1,10,2,1,0,1,1,1,1,26,1,79,3,3,79,133,0.419907980373,1.59005715697,14,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.40966461481,1,1.98014123538,29,1.2,"a",0,11,15,11,-4,-4,17,13
"27","neutral",0,1,1,10,2,1,0,1,1,1,1,27,1,18,6,6,18,84,0.45994550212,2.12981239425,6,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.429617424179,1,1.1401990804,-14,1.5,"a",0,0,20,0,-20,-4,15,11
"28","cued",1,1,0,10,2,1,2,2,0,1,1,28,1,81,152,81,152,172,0.0199404904088,1.88988862759,61,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.439732492279,1,1.43024719346,44,1.2,"a",0,-20,17,20,3,-20,20,0
"29","cued",1,1,1,10,2,1,1,1,0,1,1,29,1,130,22,22,130,108,0.239949305975,1.32988492589,43,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.289642789219,1,1.11023245878,24,1.3,"a",0,21,19,21,2,3,17,20
"30","neutral",0,1,0,10,2,1,0,2,2,1,1,30,1,156,151,156,151,25,0.669975659537,NA,143,"[ 1.6]",1,11,21,31,41,51,61,71,76,0,0.629624755464,1,1.77018649404,167,1.2,"a",0,-13,24,13,-11,2,19,21
"31","cued",1,0,0,10,1,2,1,1,0,1,1,31,1,33,84,33,84,59,0.299896670964,1.02000418845,30,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.989560131999,1,2.12011887496,13,1.3,"a",0,-3,17,3,-14,-11,24,13
"32","cued",1,0,0,10,1,2,1,1,0,1,1,32,1,164,138,164,138,115,0.530014244923,1.61000666125,162,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.289719407141,1,1.23024497003,-174,1.1,"a",0,-2,24,2,-22,-14,17,3
"33","cued",1,1,1,10,2,1,1,1,0,1,1,33,2,113,32,32,113,150,0.499932245719,2.40987944545,33,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.439694634013,1,1.41031812062,16,1.4,"a",0,1,17,1,-16,-22,24,2
"34","cued",1,0,1,10,1,2,2,2,0,1,1,34,2,108,66,66,108,132,0.459896827208,1.45004676698,72,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.269721528402,0,NA,58,1.4,"a",0,6,14,6,-8,-16,17,1
"35","cued",1,0,0,10,1,2,1,1,0,1,1,35,2,69,74,69,74,145,0.0699614777077,1.18015006897,54,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.319672507958,1,1.19035707858,69,1.2,"a",0,-15,15,15,0,-8,14,6
"36","cued",1,0,1,10,1,2,2,2,0,1,1,36,2,161,30,30,161,177,0.409917604185,1.96985971108,33,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.269710411292,1,1.24028221836,15,1.2,"a",0,3,18,3,-15,0,15,15
"37","neutral",0,1,1,10,2,1,0,1,1,1,1,37,2,80,160,160,80,8,0.96986211478,NA,162,"[ 2.]",1,12,22,32,42,52,62,72,77,0,0.389689871681,1,0.880305077546,-178,1.3,"a",0,2,20,2,-18,-15,18,3
