"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"211",0,0,1,1,6,2,1,0,1,1,1,1,211,7,47,175,175,47,31,0.66983415813,2.36977956555,179,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.309632180601,1,1.32017152346,168,1.5,"a"
"212",0,0,1,1,6,2,1,0,1,1,1,1,212,7,105,22,22,105,101,0.829931337134,1.87992155734,47,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.299729500815,1,1.21019496192,75,1.1,"a"
"213",0,0,0,1,6,1,2,0,2,2,1,1,213,7,19,1,1,19,178,0.629904656775,1.09998705041,178,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.469560504174,1,1.55013278587,176,1.2,"a"
"214",0,0,1,1,6,2,1,0,1,1,1,1,214,7,55,166,166,55,40,0.689830907213,1.82989167714,178,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.38973875782,1,1.320220798,162,1.3,"a"
"215",1,1,1,1,6,2,1,1,1,0,1,1,215,7,91,56,56,91,86,0.319933863955,1.84992297849,60,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.439680905305,1,1.28024412529,78,1.1,"a"
"216",0,0,0,0,6,1,2,0,1,1,1,1,216,7,2,48,2,48,49,0.729891106277,1.98991103843,10,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.409638159645,1,1.34014123164,24,1.4,"a"
"217",1,1,0,0,6,1,2,1,1,0,1,1,217,7,61,28,61,28,18,0.229928212408,1.08001704178,51,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.249728163793,1,0.880319359096,81,1.2,"a"
"218",1,1,0,1,6,1,2,2,2,0,1,1,218,7,130,22,22,130,113,0.319902917143,1.12990691018,24,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.27965162902,1,1.08025980901,40,1.2,"a"
"219",0,0,0,1,6,1,2,0,2,2,1,1,219,7,117,52,52,117,97,0.609863440426,1.60012661153,45,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.289727671048,1,0.86035656137,55,1.2,"a"
"220",1,1,1,1,6,2,1,1,1,0,1,1,220,7,124,9,9,124,141,0.319898410326,1.34013101619,3,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.329661679221,1,1.20015797897,13,1.2,"a"
"221",0,0,1,0,6,2,1,0,2,2,1,1,221,7,65,100,65,100,123,1.00975725981,1.75982719059,33,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.619655552955,1,1.79020133756,99,1.2,"a"
"222",1,1,0,0,6,1,2,1,1,0,1,1,222,7,22,16,22,16,48,0.509822909115,1.40987101188,5,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.319707020812,1,0.910286390223,37,1.3,"a"
"223",0,0,1,0,6,2,1,0,2,2,1,1,223,7,13,128,13,128,51,1.04980754387,2.36980750782,14,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.759634298804,1,1.59019749175,43,1.3,"a"
"224",1,1,0,0,6,1,2,1,1,0,1,1,224,7,87,55,87,55,77,0.419877648919,1.05981898818,77,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.279672660834,1,0.960291032245,53,1,"a"
"225",1,1,0,0,6,1,2,1,1,0,1,1,225,8,152,107,152,107,176,0.459954973889,1.36998477597,136,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.329655970587,1,1.0802255572,122,1.5,"a"
