"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv"
"253",1,1,1,1,1,2,1,1,1,0,1,1,253,8,36,36,36,36,4,0.529881331555,NA,33,"[ 1.5]",2,14,24,34,44,54,64,74,79,0,0.499667853341,1,1.7301836436,59,1.2
"254",1,1,0,1,1,1,2,2,2,0,1,1,254,8,35,128,128,35,128,0.53990371803,1.58988675767,141,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.71958259185,1,1.91009746874,158,1.2
"255",1,1,0,0,1,1,2,1,1,0,1,1,255,8,117,11,117,11,2,0.46991376205,NA,122,"[ 1.7]",2,13,23,33,43,53,63,73,78,0,0.669678269916,1,1.42020533303,143,1.3
"256",0,0,0,1,1,1,2,0,2,2,1,1,256,8,170,10,10,170,137,1.3198156203,2.20983196173,128,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.739596418525,1,1.62014950956,159,1.4
"257",0,0,1,0,1,2,1,0,2,2,1,1,257,9,108,4,108,4,43,2.51950922214,3.549499767,108,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.709591151648,1,1.57008534862,126,1
"258",0,0,1,1,1,2,1,0,1,1,1,1,258,9,159,140,140,159,160,0.769814103029,1.73985390354,148,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.699609025376,1,1.82009849328,159,1.4
"259",0,0,1,0,1,2,1,0,2,2,1,1,259,9,106,82,106,82,63,0.719825655302,1.95989332849,108,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.619639647164,1,1.60019517184,122,1.4
"260",1,1,1,1,1,2,1,1,1,0,1,1,260,9,78,4,4,78,167,0.829846870025,1.85982870186,170,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.459666939974,1,1.52011673055,166,1
"261",0,0,0,1,1,1,2,0,2,2,1,1,261,9,74,78,78,74,157,0.689831805497,2.05983417003,56,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.689563504309,1,1.70015163674,81,1.1
"262",0,0,0,0,1,1,2,0,1,1,1,1,262,9,53,42,53,42,113,1.34978633551,2.69984788254,46,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.759523715813,1,1.6100814548,68,1.3
"263",1,1,1,0,1,2,1,2,2,0,1,1,263,9,56,63,56,63,87,0.569848895053,1.91989301603,41,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.729527161964,1,1.68011737952,59,1.4
