"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"102",1,1,0,0,23,1,2,1,1,0,1,1,102,4,23,133,23,133,119,0.289914825138,1.89991172437,5,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.449650442941,1,1.10022738936,-11,1.4,"b"
"103",0,0,1,0,23,2,1,0,2,2,1,1,103,4,22,62,22,62,33,0.519882747854,1.19996232211,25,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,1.20952120838,1,2.12009661644,17,1.3,"b"
"104",0,0,0,0,23,1,2,0,1,1,1,1,104,4,162,107,162,107,129,0.399951084848,1.5600199146,11,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.769648988706,1,1.23026207465,-9,1.2,"b"
"105",1,1,1,0,23,2,1,2,2,0,1,1,105,4,164,25,164,25,25,0.459932840817,1.39999855778,165,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.95967895074,1,1.5302045062,175,1.3,"b"
"106",0,0,0,1,23,1,2,0,2,2,1,1,106,4,126,66,66,126,152,0.319861234801,NA,23,"[ 1.5]",1,12,22,32,42,52,62,72,77,0,0.639620913571,1,1.57018843752,11,1.2,"b"
"107",0,0,0,0,23,1,2,0,1,1,1,1,107,4,0,33,0,33,89,0.539894694208,NA,46,"[ 1.7]",1,11,21,31,41,51,61,71,76,0,1.29945989018,1,2.33001413371,-9,1.3,"b"
"108",1,1,1,1,23,2,1,1,1,0,1,1,108,4,179,127,127,179,48,0.57991918784,2.04993401863,151,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.639547300472,1,1.3601961053,178,1.3,"b"
"109",0,0,1,1,23,2,1,0,1,1,1,1,109,4,5,88,88,5,118,0.449946397646,1.59998702006,163,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.799573464672,1,1.35019313674,-178,1.3,"b"
"110",1,1,0,0,23,1,2,1,1,0,1,1,110,4,123,155,123,155,165,0.43985028598,1.07995975016,8,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.469675309145,1,1.15027678525,-37,1.4,"b"
"111",0,0,0,1,23,1,2,0,2,2,1,1,111,4,67,21,21,67,174,0.729876582382,1.17010454863,174,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.479573116136,1,1.30022696871,-151,1.5,"b"
