"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"27",0,0,0,1,3,1,2,0,2,2,1,1,27,1,14,84,84,14,122,1.3297664221,2.77981138657,73,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.599705905595,1,1.61033512882,98,1.3,"a"
"28",0,0,1,0,3,2,1,0,2,2,1,1,28,1,86,86,86,86,50,1.00986303936,2.57990771544,77,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.71961637924,1,1.36021697125,64,1.1,"a"
"29",1,1,0,0,3,1,2,1,1,0,1,1,29,1,50,151,50,151,113,1.07985408255,2.43989768595,57,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.659612767689,1,1.53030647652,38,1.4,"a"
"30",1,1,0,0,3,1,2,1,1,0,1,1,30,1,158,90,158,90,54,0.729780483816,2.08984331688,136,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.759712732164,1,1.93020786415,117,1.4,"a"
"31",0,0,1,0,3,2,1,0,2,2,1,1,31,1,177,27,177,27,53,0.809882749862,NA,165,"[ 1.8]",1,11,21,31,41,51,61,71,76,0,0.61964711675,1,1.14023597864,145,1.5,"a"
"32",1,1,1,0,3,2,1,2,2,0,1,1,32,1,136,142,136,142,105,0.929839494987,2.16010417696,127,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,1.47955746425,1,2.47010275576,105,1.1,"a"
"33",1,1,1,0,3,2,1,2,2,0,1,1,33,2,45,179,45,179,41,1.2098180899,2.26989020733,60,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.739598153101,1,1.61020052084,50,1.4,"a"
"34",1,1,0,0,3,1,2,1,1,0,1,1,34,2,127,127,127,127,123,0.589978976524,1.38001546188,128,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.989524314005,1,1.94014061126,113,1.1,"a"
"35",0,0,0,0,3,1,2,0,1,1,1,1,35,2,107,161,107,161,13,1.11980350839,NA,151,"[ 1.9]",1,11,21,31,41,51,61,71,76,0,0.869621051534,1,1.54026205896,128,1.3,"a"
"36",0,0,1,0,3,2,1,0,2,2,1,1,36,2,74,2,74,2,39,1.50982232648,2.55983880692,60,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,1.24959565024,1,2.44011191692,46,1,"a"
"37",0,0,1,1,3,2,1,0,1,1,1,1,37,2,51,65,65,51,27,1.32974749285,2.76977828442,69,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.499615255569,1,1.11022200406,50,1.5,"a"
"38",1,1,1,1,3,2,1,1,1,0,1,1,38,2,163,66,66,163,155,2.35971790017,NA,54,"[ 1.6]",2,14,24,34,44,54,64,74,79,0,0.919623710564,1,2.29018957191,96,1.2,"a"
"39",0,0,1,0,3,2,1,0,2,2,1,1,39,2,120,41,120,41,23,1.7698020211,3.32978444995,137,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.51965922548,1,1.25023894419,120,1.4,"a"
"40",1,1,1,1,3,2,1,1,1,0,1,1,40,2,118,46,46,118,120,0.889800230332,2.42985677166,65,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.719538559031,1,1.88006548915,81,1.2,"a"
"41",1,1,0,1,3,1,2,2,2,0,1,1,41,2,12,10,10,12,47,0.739836120803,1.89985947288,34,"[ 2.]",2,14,24,34,44,54,64,74,79,1,1.06956047792,1,1.93005973531,51,1.1,"a"
"42",1,1,0,0,3,1,2,1,1,0,1,1,42,2,23,85,23,85,111,0.939923375612,2.56986650074,25,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.879561911162,1,1.65014784347,41,1.4,"a"
"43",1,1,1,0,3,2,1,2,2,0,1,1,43,2,145,87,145,87,65,0.649857294513,1.98994466348,129,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.869655604882,1,1.80022642988,137,1.5,"a"
"44",0,0,1,0,3,2,1,0,2,2,1,1,44,2,131,164,131,164,91,0.709844981495,1.54005744279,73,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.96959722467,1,1.81021776743,85,1.4,"a"
"45",0,0,0,1,3,1,2,0,2,2,1,1,45,2,70,87,87,70,29,1.25972069445,2.7597289572,126,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,1.4495975732,1,2.36008206278,110,1.3,"a"
"46",0,0,1,0,3,2,1,0,2,2,1,1,46,2,71,165,71,165,73,0.699951294751,1.40000264405,65,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,3.04942847189,1,3.94006188959,84,1.1,"a"
"47",0,0,0,0,3,1,2,0,1,1,1,1,47,2,79,104,79,104,57,0.879852159589,1.560019386,51,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.899653654837,1,1.76023403759,68,1.4,"a"
"48",1,1,0,0,3,1,2,1,1,0,1,1,48,2,29,41,29,41,55,1.71979575639,3.06979814509,33,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.559649213974,1,2.09025164781,62,1.1,"a"
"49",1,1,1,0,3,2,1,2,2,0,1,1,49,2,2,46,2,46,142,0.889815253555,2.27982926421,16,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.749579875846,1,2.45007651323,25,1.1,"a"
"50",0,0,0,1,3,1,2,0,2,2,1,1,50,2,37,147,147,37,59,0.749856603448,1.76993813145,142,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.749636062654,1,2.19019627228,125,1.3,"a"
"51",1,1,0,1,3,1,2,2,2,0,1,1,51,2,19,51,51,19,137,3.72951096739,5.38953687344,61,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.779565907316,1,1.71015956759,90,1.1,"a"
"52",0,0,0,0,3,1,2,0,1,1,1,1,52,2,107,14,107,14,142,1.04980765778,2.26983672474,122,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.679763402441,0,NA,122,1.3,"a"
"53",0,0,1,1,3,2,1,0,1,1,1,1,53,2,145,103,103,145,53,1.04985933768,2.4399115073,128,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.819640025788,1,1.59016917041,112,1,"a"
"54",1,1,1,1,3,2,1,1,1,0,1,1,54,2,176,141,141,176,105,0.849853809108,1.9799115613,136,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.819722052547,1,1.79027355165,113,1.1,"a"
"55",0,0,1,1,3,2,1,0,1,1,1,1,55,2,141,21,21,141,2,1.28977162612,2.12990872195,31,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.629624332534,1,2.08014883799,18,1.2,"a"
"56",1,1,0,1,3,1,2,2,2,0,1,1,56,2,38,116,116,38,46,0.469966044533,2.14991423249,130,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.649712771235,1,1.51034393243,112,1,"a"
"57",1,1,1,0,3,2,1,2,2,0,1,1,57,2,106,125,106,125,68,0.569935006555,1.63000982819,109,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,1.12957851175,1,2.03034869174,97,1.1,"a"
"58",1,1,1,1,3,2,1,1,1,0,1,1,58,2,129,159,159,129,140,1.28989691974,2.15996536252,142,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.689589484711,1,2.14022516186,128,1.1,"a"
"59",0,0,0,0,3,1,2,0,1,1,1,1,59,2,164,17,164,17,158,0.949878056592,2.89008446952,155,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.83960587508,1,1.67020653613,143,1.5,"a"
"60",1,1,0,1,3,1,2,2,2,0,1,1,60,2,56,33,33,56,135,1.26985144749,3.13981562911,38,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.48969152238,1,1.20023388142,32,1.2,"a"
"61",0,0,1,1,3,2,1,0,1,1,1,1,61,2,15,160,160,15,115,1.42974529951,2.32979646855,151,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.649642462551,1,1.52024903678,132,1.4,"a"
"62",1,1,0,0,3,1,2,1,1,0,1,1,62,2,160,129,160,129,153,0.669896156585,2.37992081564,144,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.849569569982,1,2.06011268013,157,1.1,"a"
"63",0,0,0,1,3,1,2,0,2,2,1,1,63,2,121,164,164,121,8,0.799884201086,2.42992347479,160,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.75961448031,1,1.57013721904,149,1.2,"a"
"64",0,0,0,1,3,1,2,0,2,2,1,1,64,2,142,46,46,142,64,1.40979807905,2.49980514898,38,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,1.16964692145,1,1.97017501743,24,1.2,"a"
"65",1,1,0,0,3,1,2,1,1,0,1,1,65,3,76,115,76,115,123,0.389964133559,1.76998229965,67,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.839608278708,1,1.90019328863,58,1.1,"a"
"66",1,1,1,1,3,2,1,1,1,0,1,1,66,3,30,69,69,30,14,1.52982302959,3.07978557667,57,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.399640584656,1,1.4802551422,35,1.4,"a"
